NE Name,East Port IP,East Port Description,West Port IP,West Port Description,LoopBack0,LoopBack1,Software version,Patch version,Version,East NE Name,West Port Description of East NE,West NE Name,East Port Description of West NE
RKL0637-ATN910CG-01,10.119.160.10,east-port RKL-AR160 -> RAF418-ATN950C-01 RKL0000-CX08-01A G6/2/2.10,10.119.160.5,west-port RKL-AR160 -> RKL0608-ATN950D-01 RKL0000-CX08-01B G6/2/2.10,10.119.160.204,10.205.37.195,ATN 910C-GV800R022C00SPC600(VRPV800R022C01SPC500),SPH120,V800R022SPH120,RAF418-ATN950C-01,west-port RKL-AR160 -> RKL0637-ATN910CG-01 RKL0000-CX08-01B G6/2/2.10,RKL0608-ATN950D-01,east-port RKL-AR160 -> RKL0637-ATN910CG-01 RKL0000-CX08-01A G6/2/2.10
ROC0902-ATN950D-01,10.117.131.2,east-port ROC-AR131 -> ROC0000-CX08-01A G6/0/0.10,10.117.131.5,west-port ROC-AR131 -> GGS252-CX01M4-01 ROC0000-CX08-01B G6/0/0.10,10.117.131.201,10.205.34.127,ATN 950DV800R022C00SPC600(VRPV800R022C01SPC500),SPH120,V800R022SPH120,ROC0000-CX08-01A,east-port ROC-AR131 [ROC0902-ATN950D-01 G0/1/0.10],GGS252-CX01M4-01,east-port ROC-AR131 -> ROC0902-ATN950D-01 ROC0000-CX08-01A G6/0/0.10
ROC0602-ATN950D-01,10.117.123.6,east-port ROC-AR123 -> GGS601-ATN950C-01 ROC0000-CX08-01A G5/0/2.10,10.117.123.9,west-port ROC-AR123 -> GGS580-ATN950C-02 ROC0000-CX08-01B G5/0/2.10,10.117.123.203,10.205.34.129,ATN 950DV800R022C00SPC600(VRPV800R022C01SPC500),SPH120,V800R022SPH120,GGS601-ATN950C-01,west-port ROC-AR123 -> ROC0602-ATN950D-01 ROC0000-CX08-01B G5/0/2.10,GGS580-ATN950C-02,east-port ROC-AR123 -> ROC0602-ATN950D-01 ROC0000-CX08-01A G5/0/2.10
